Rank,Role,Champion,Tier,Win Rate,Pick Rate,Ban Rate,Matches,Counters
1,adc,Aurelion Sol,A,54.49%,0.7%,0.9%,"2,652","nilah, zeri, yasuo, draven, lucian, varus, vayne, aurelionsol"
2,top,Singed,S+,53.10%,3.0%,1.2%,"10,877","heimerdinger, vayne, yorick, fiora, varus, kayle, gangplank, singed"
3,adc,Brand,A,53.08%,0.9%,2.3%,"3,161","aurelionsol, swain, mel, nilah, seraphine, veigar, kogmaw, brand"
35,mid,Kog'Maw,A,51.57%,1.0%,0.7%,"3,601","velkoz, zoe, hwei, talon, naafiri, anivia, leblanc, kogmaw"
5,adc,Swain,S,52.80%,2.0%,5.6%,"7,394","kogmaw, veigar, vayne, smolder, yasuo, ziggs, sivir, swain"
6,jungle,Rammus,S,52.65%,1.5%,2.7%,"5,565","zaahen, shaco, wukong, amumu, volibear, vi, briar, rammus"
7,top,Ornn,S+,52.54%,5.7%,1.0%,"20,666","shen, fiora, singed, drmundo, gnar, ambessa, garen, ornn"
8,jungle,Rek'Sai,S+,52.52%,2.7%,3.2%,"9,948","zed, taliyah, rammus, amumu, ekko, karthus, nunu, reksai"
9,mid,Sion,A,52.51%,0.8%,1.1%,"3,047","anivia, swain, ekko, aurora, irelia, ahri, smolder, sion"
10,mid,Vel'Koz,A,52.50%,1.1%,0.9%,"3,880","kayle, aurelionsol, kassadin, zed, ahri, xerath, hwei, velkoz"
11,adc,Lux,A,52.49%,0.6%,2.4%,"2,090","nilah, swain, senna, tristana, ziggs, yunara, brand, lux"
12,adc,Veigar,A,52.43%,1.6%,1.4%,"5,691","ziggs, varus, sivir, aurelionsol, corki, draven, smolder, veigar"
44,mid,Ekko,S,51.44%,3.2%,6.0%,"11,714","talon, vladimir, velkoz, lissandra, naafiri, ahri, cassiopeia, ekko"
14,jungle,Zyra,A,52.26%,1.2%,2.6%,"4,355","volibear, udyr, masteryi, zac, rammus, gwen, fiddlesticks, zyra"
25,mid,Kayle,A,52.06%,0.9%,6.0%,"3,148","aurora, annie, kogmaw, aurelionsol, qiyana, azir, syndra, kayle"
16,jungle,Ivern,A,52.22%,1.2%,0.5%,"4,169","rammus, sejuani, elise, ekko, jarvaniv, fizz, drmundo, ivern"
17,jungle,Nunu & Willump,S,52.16%,2.4%,1.0%,"8,777","ivern, elise, volibear, udyr, darius, teemo, trundle, nunu"
18,top,Shen,S,52.14%,3.9%,0.7%,"14,232","singed, vayne, kled, gangplank, sett, darius, kayle, shen"
19,jungle,Evelynn,S,52.13%,2.3%,2.8%,"8,287","talon, reksai, zyra, teemo, shaco, rammus, ivern, evelynn"
20,adc,Yasuo,S,52.12%,1.0%,18.1%,"3,751","ziggs, tristana, veigar, mel, corki, nilah, sivir, yasuo"
21,top,Heimerdinger,A,52.11%,0.9%,1.1%,"3,395","varus, ornn, vladimir, chogath, gangplank, sion, yasuo, heimerdinger"
22,support,Sona,S,52.09%,5.2%,1.2%,"18,633","janna, pantheon, rell, thresh, renata, velkoz, zilean, sona"
23,top,Urgot,S,52.09%,2.7%,0.9%,"9,864","illaoi, swain, gwen, kayle, teemo, singed, ornn, urgot"
24,mid,Ahri,S+,52.07%,14.5%,6.9%,"52,365","annie, vex, diana, mel, zoe, veigar, katarina, ahri"
26,jungle,Taliyah,A,52.02%,1.0%,0.6%,"3,733","belveth, evelynn, maokai, ivern, rammus, talon, kindred, taliyah"
27,jungle,Fiddlesticks,S,52.00%,2.6%,2.0%,"9,580","evelynn, nocturne, volibear, reksai, maokai, xinzhao, lillia, fiddlesticks"
28,mid,Zoe,S+,51.76%,3.7%,7.0%,"13,212","morgana, annie, twistedfate, malzahar, fizz, ekko, naafiri, zoe"
29,mid,Annie,A,51.72%,2.1%,0.5%,"7,569","qiyana, irelia, diana, xerath, lux, syndra, ekko, annie"
30,adc,Xayah,S+,51.71%,6.1%,0.9%,"22,085","kogmaw, swain, draven, yasuo, veigar, senna, caitlyn, xayah"
31,mid,Anivia,S,51.71%,3.4%,2.7%,"12,320","talon, velkoz, xerath, twistedfate, akshan, ahri, vex, anivia"
32,jungle,Xin Zhao,S+,51.60%,6.8%,5.0%,"24,444","evelynn, trundle, drmundo, jax, zaahen, sejuani, wukong, xinzhao"
33,top,Warwick,A,51.59%,1.1%,1.0%,"4,049","olaf, aurora, gragas, tahmkench, vladimir, shen, urgot, warwick"
34,adc,Nilah,S,51.57%,1.6%,3.3%,"5,842","swain, senna, xayah, varus, draven, corki, sivir, nilah"
36,top,Quinn,A,51.55%,0.9%,0.8%,"3,321","vladimir, singed, anivia, gwen, nasus, malphite, yone, quinn"
37,support,Maokai,A,51.54%,2.5%,0.3%,"8,923","zilean, milio, janna, braum, lulu, senna, taric, maokai"
38,mid,Talon,S,51.53%,2.1%,6.0%,"7,432","pantheon, vex, malphite, taliyah, galio, akshan, vladimir, talon"
39,support,Taric,A,51.53%,1.3%,0.2%,"4,590","zyra, zilean, swain, soraka, bard, lulu, pyke, taric"
40,mid,Akshan,S,51.50%,3.0%,3.5%,"10,724","annie, swain, taliyah, kayle, cassiopeia, velkoz, malphite, akshan"
41,support,Nami,S+,51.46%,15.3%,3.9%,"55,510","taric, soraka, blitzcrank, sona, braum, maokai, zilean, nami"
42,support,Elise,A,51.46%,1.0%,2.1%,"3,461","poppy, maokai, velkoz, taric, soraka, nami, rakan, elise"
43,adc,Ziggs,A,51.46%,1.5%,0.5%,"5,527","brand, aurelionsol, nilah, sivir, samira, mel, caitlyn, ziggs"
45,top,Cassiopeia,A,51.41%,0.7%,1.2%,"2,445","sion, tahmkench, vayne, heimerdinger, volibear, ksante, gnar, cassiopeia"
46,mid,Vex,S,51.41%,2.9%,3.4%,"10,316","aurelionsol, diana, velkoz, annie, naafiri, syndra, veigar, vex"
47,jungle,Kindred,S,51.40%,2.1%,1.7%,"7,509","zac, nunu, ivern, elise, shaco, zyra, naafiri, kindred"
48,jungle,Trundle,A,51.39%,1.0%,0.4%,"3,446","kindred, teemo, nidalee, volibear, maokai, naafiri, malphite, trundle"
49,mid,Diana,S+,51.39%,3.4%,10.4%,"12,446","kogmaw, talon, lux, akshan, anivia, vladimir, aurelionsol, diana"
50,mid,Twisted Fate,S,51.38%,5.3%,1.6%,"19,321","naafiri, akshan, mel, yasuo, viktor, irelia, sylas, twistedfate"
51,adc,Senna,A,51.37%,1.6%,0.9%,"5,745","veigar, kalista, brand, yasuo, kogmaw, ziggs, aurelionsol, senna"
52,top,Nasus,S+,51.32%,3.9%,3.8%,"14,106","illaoi, singed, shen, gwen, yone, ornn, aatrox, nasus"
53,jungle,Kha'Zix,S+,51.30%,11.7%,19.3%,"42,509","rammus, elise, fiddlesticks, reksai, maokai, naafiri, wukong, khazix"
54,support,Soraka,S,51.29%,4.8%,2.3%,"17,537","zyra, xerath, maokai, poppy, blitzcrank, senna, velkoz, soraka"
55,top,Olaf,S,51.29%,2.2%,1.7%,"7,822","ryze, gragas, ksante, camille, kayle, vayne, shen, olaf"
